Date (UTC),Timestamp (UTC),<1.0%,1.0–1.5%,1.5–2.0%,2.0–2.5%,2.5–3.0%,3.0–3.5%,≥3.5%
12-29-2025 21:00,1767042000,0.1,0.24,0.18,0.16,0.17,0.135,0.135
12-29-2025 22:00,1767045600,0.105,0.28,0.18,0.165,0.19,0.135,0.135
12-29-2025 23:00,1767049200,0.1,0.275,0.18,0.16,0.175,0.135,0.135
12-30-2025 00:00,1767052800,0.105,0.265,0.18,0.165,0.21,0.135,0.135
12-30-2025 01:00,1767056400,0.1,0.245,0.18,0.165,0.165,0.135,0.135
12-30-2025 02:00,1767060000,0.11,0.255,0.18,0.165,0.175,0.135,0.135
12-30-2025 03:00,1767063600,0.12,0.23,0.195,0.165,0.165,0.135,0.135
12-30-2025 04:00,1767067200,0.115,0.215,0.195,0.165,0.195,0.135,0.135
12-30-2025 05:00,1767070800,0.13,0.23,0.2,0.16,0.145,0.135,0.135
12-30-2025 06:00,1767074400,0.1,0.26,0.185,0.16,0.19,0.135,0.135
12-30-2025 07:00,1767078000,0.115,0.245,0.19,0.165,0.19,0.135,0.135
12-30-2025 08:00,1767081600,0.105,0.23,0.18,0.165,0.195,0.135,0.135
12-30-2025 09:00,1767085200,0.115,0.24,0.19,0.165,0.145,0.135,0.135
12-30-2025 10:00,1767088800,0.125,0.235,0.18,0.165,0.155,0.135,0.135
12-30-2025 11:00,1767092400,0.125,0.24,0.185,0.16,0.15,0.135,0.135
12-30-2025 12:00,1767096000,0.125,0.205,0.18,0.165,0.18,0.135,0.135
12-30-2025 13:00,1767099600,0.105,0.25,0.18,0.17,0.175,0.135,0.135
12-30-2025 14:00,1767103200,0.115,0.25,0.185,0.17,0.145,0.135,0.135
12-30-2025 15:00,1767106800,0.125,0.235,0.2,0.16,0.15,0.135,0.135
12-30-2025 16:00,1767110400,0.105,0.265,0.185,0.155,0.18,0.135,0.135
12-30-2025 17:00,1767114000,0.105,0.255,0.195,0.165,0.17,0.135,0.135
12-30-2025 18:00,1767117600,0.12,0.255,0.19,0.165,0.175,0.135,0.135
12-30-2025 19:00,1767121200,0.09,0.285,0.18,0.165,0.195,0.135,0.135
12-30-2025 20:00,1767124800,0.095,0.25,0.18,0.185,0.2,0.13,0.135
12-30-2025 21:00,1767128400,0.08,0.21,0.185,0.18,0.21,0.135,0.135
12-30-2025 22:00,1767132000,0.09,0.215,0.185,0.17,0.2,0.135,0.135
12-30-2025 23:00,1767135600,0.08,0.215,0.185,0.165,0.225,0.135,0.135
12-31-2025 00:00,1767139200,0.08,0.2,0.185,0.17,0.21,0.135,0.135
12-31-2025 01:00,1767142800,0.08,0.215,0.185,0.175,0.215,0.135,0.135
12-31-2025 02:00,1767146400,0.085,0.215,0.185,0.17,0.21,0.135,0.135
12-31-2025 03:00,1767150000,0.08,0.215,0.185,0.165,0.21,0.135,0.135
12-31-2025 04:00,1767153600,0.09,0.21,0.205,0.16,0.23,0.135,0.135
12-31-2025 05:00,1767157200,0.075,0.205,0.2,0.16,0.22,0.135,0.135
12-31-2025 06:00,1767160800,0.085,0.21,0.2,0.165,0.21,0.135,0.135
12-31-2025 07:00,1767164400,0.08,0.205,0.185,0.155,0.215,0.135,0.135
12-31-2025 08:00,1767168000,0.085,0.235,0.195,0.175,0.205,0.135,0.135
12-31-2025 09:00,1767171600,0.08,0.215,0.2,0.165,0.21,0.135,0.135
12-31-2025 10:00,1767175200,0.09,0.215,0.195,0.165,0.2,0.135,0.135
12-31-2025 11:00,1767178800,0.085,0.215,0.2,0.155,0.195,0.135,0.135
12-31-2025 12:00,1767182400,0.09,0.21,0.19,0.16,0.2,0.135,0.135
12-31-2025 13:00,1767186000,0.09,0.195,0.19,0.155,0.19,0.13,0.135
12-31-2025 14:00,1767189600,0.085,0.19,0.19,0.15,0.195,0.135,0.135
12-31-2025 15:00,1767193200,0.09,0.22,0.2,0.17,0.215,0.13,0.135
12-31-2025 16:00,1767196800,0.085,0.215,0.205,0.175,0.205,0.13,0.13
12-31-2025 17:00,1767200400,0.085,0.215,0.205,0.17,0.205,0.13,0.13
12-31-2025 18:00,1767204000,0.075,0.215,0.205,0.18,0.22,0.13,0.13
12-31-2025 19:00,1767207600,0.07,0.205,0.21,0.165,0.225,0.135,0.13
12-31-2025 20:00,1767211200,0.065,0.2,0.2,0.16,0.205,0.135,0.135
12-31-2025 21:00,1767214800,0.055,0.185,0.19,0.17,0.195,0.13,0.135
12-31-2025 22:00,1767218400,0.07,0.21,0.21,0.16,0.215,0.135,0.135
12-31-2025 23:00,1767222000,0.075,0.2,0.21,0.16,0.21,0.135,0.135
01-01-2026 00:00,1767225600,0.065,0.2,0.21,0.155,0.2,0.13,0.135
01-01-2026 01:00,1767229200,0.065,0.205,0.21,0.16,0.205,0.135,0.135
01-01-2026 02:00,1767232800,0.075,0.2,0.21,0.14,0.2,0.135,0.135
01-01-2026 03:00,1767236400,0.05,0.215,0.195,0.16,0.205,0.135,0.135
01-01-2026 04:00,1767240000,0.065,0.205,0.215,0.155,0.2,0.135,0.135
01-01-2026 05:00,1767243600,0.07,0.21,0.21,0.17,0.215,0.13,0.13
01-01-2026 06:00,1767247200,0.07,0.225,0.21,0.16,0.22,0.13,0.13
01-01-2026 07:00,1767250800,0.075,0.215,0.21,0.165,0.205,0.135,0.135
01-01-2026 08:00,1767254400,0.09,0.205,0.21,0.165,0.22,0.13,0.13
01-01-2026 09:00,1767258000,0.08,0.225,0.215,0.155,0.21,0.13,0.135
01-01-2026 10:00,1767261600,0.065,0.2,0.21,0.145,0.2,0.135,0.135
01-01-2026 11:00,1767265200,0.065,0.2,0.21,0.15,0.2,0.13,0.135
01-01-2026 12:00,1767268800,0.07,0.2,0.21,0.155,0.195,0.13,0.135
01-01-2026 13:00,1767272400,0.06,0.21,0.21,0.2,0.22,0.13,0.13
01-01-2026 14:00,1767276000,0.09,0.215,0.205,0.175,0.21,0.13,0.13
01-01-2026 15:00,1767279600,0.07,0.19,0.195,0.175,0.195,0.13,0.135
01-01-2026 16:00,1767283200,0.06,0.2,0.205,0.15,0.205,0.135,0.135
01-01-2026 17:00,1767286800,0.06,0.205,0.21,0.145,0.205,0.13,0.135
01-01-2026 18:00,1767290400,0.06,0.205,0.21,0.145,0.205,0.13,0.135
01-01-2026 19:00,1767294000,0.06,0.2,0.21,0.155,0.2,0.13,0.135
01-01-2026 20:00,1767297600,0.06,0.19,0.21,0.155,0.2,0.13,0.135
01-01-2026 21:00,1767301200,0.06,0.19,0.21,0.15,0.2,0.13,0.135
01-01-2026 22:00,1767304800,0.06,0.195,0.205,0.165,0.205,0.135,0.135
01-01-2026 23:00,1767308400,0.06,0.205,0.215,0.16,0.205,0.135,0.135
01-02-2026 00:00,1767312000,0.06,0.205,0.21,0.16,0.2,0.135,0.135
01-02-2026 01:00,1767315600,0.065,0.195,0.205,0.15,0.2,0.135,0.135
01-02-2026 02:00,1767319200,0.065,0.185,0.21,0.16,0.215,0.13,0.135
01-02-2026 03:00,1767322800,0.065,0.185,0.215,0.16,0.205,0.13,0.135
01-02-2026 04:00,1767326400,0.085,0.185,0.21,0.16,0.195,0.135,0.135
