field_id,release_datetime_et,event,event_base_matched,A,C,raw_surprise
retail_sales,2011-01-14 08:30:00,Retail Sales (MoM),Retail Sales (MoM),0.6,0.7,-0.09999999999999998
industrial_production,2011-01-14 09:15:00,Industrial Production (MoM),Industrial Production (MoM),0.8,0.4,0.4
building_permits,2011-01-19 08:30:00,Building Permits,Building Permits,640000.0,560000.0,80000.0
housing_starts,2011-01-19 08:30:00,Housing Starts,Housing Starts,530000.0,550000.0,-20000.0
existing_home_sales,2011-01-20 10:00:00,Existing Home Sales,Existing Home Sales,5280000.0,4800000.0,480000.0
new_home_sales,2011-01-26 10:00:00,New Home Sales,New Home Sales,329000.0,300000.0,29000.0
durable_goods,2011-01-27 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),-2.5,1.5,-4.0
real_gdp_advance,2011-01-28 08:30:00,GDP (QoQ),GDP (QoQ),3.2,3.6,-0.3999999999999999
ism_manufacturing,2011-02-01 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,60.8,58.2,2.5999999999999943
ism_services,2011-02-03 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,59.4,57.0,2.3999999999999986
nonfarm_payrolls,2011-02-04 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,36000.0,150000.0,-114000.0
unemployment_rate,2011-02-04 08:30:00,Unemployment Rate,Unemployment Rate,9.0,9.6,-0.5999999999999996
retail_sales,2011-02-15 08:30:00,Retail Sales (MoM),Retail Sales (MoM),0.3,0.5,-0.2
building_permits,2011-02-16 08:30:00,Building Permits,Building Permits,560000.0,570000.0,-10000.0
housing_starts,2011-02-16 08:30:00,Housing Starts,Housing Starts,600000.0,550000.0,50000.0
ppi,2011-02-16 08:30:00,PPI (MoM),PPI (MoM),0.8,0.8,0.0
industrial_production,2011-02-16 09:15:00,Industrial Production (MoM),Industrial Production (MoM),-0.1,0.6,-0.7
existing_home_sales,2011-02-23 10:00:00,Existing Home Sales,Existing Home Sales,5360000.0,5230000.0,130000.0
durable_goods,2011-02-24 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),2.7,3.0,-0.2999999999999998
new_home_sales,2011-02-24 10:00:00,New Home Sales,New Home Sales,284000.0,310000.0,-26000.0
real_gdp_advance,2011-02-25 08:30:00,GDP (QoQ),GDP (QoQ),2.8,3.3,-0.5
ism_manufacturing,2011-03-01 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,61.4,60.9,0.5
ism_services,2011-03-03 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,59.7,59.7,0.0
nonfarm_payrolls,2011-03-04 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,192000.0,180000.0,12000.0
unemployment_rate,2011-03-04 08:30:00,Unemployment Rate,Unemployment Rate,8.9,9.1,-0.1999999999999993
retail_sales,2011-03-11 08:30:00,Retail Sales (MoM),Retail Sales (MoM),1.0,1.0,0.0
building_permits,2011-03-16 08:30:00,Building Permits,Building Permits,520000.0,570000.0,-50000.0
housing_starts,2011-03-16 08:30:00,Housing Starts,Housing Starts,480000.0,580000.0,-100000.0
ppi,2011-03-16 08:30:00,PPI (MoM),PPI (MoM),1.6,0.6,1.0
industrial_production,2011-03-17 09:15:00,Industrial Production (MoM),Industrial Production (MoM),-0.1,0.6,-0.7
existing_home_sales,2011-03-21 10:00:00,Existing Home Sales,Existing Home Sales,4880000.0,5050000.0,-170000.0
new_home_sales,2011-03-23 10:00:00,New Home Sales,New Home Sales,250000.0,288000.0,-38000.0
durable_goods,2011-03-24 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),-0.9,1.0,-1.9
real_gdp_advance,2011-03-25 08:30:00,GDP (QoQ),GDP (QoQ),3.1,2.9,0.20000000000000018
nonfarm_payrolls,2011-04-01 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,216000.0,188000.0,28000.0
unemployment_rate,2011-04-01 08:30:00,Unemployment Rate,Unemployment Rate,8.8,8.9,-0.09999999999999964
ism_manufacturing,2011-04-01 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,61.2,61.0,0.20000000000000284
ism_services,2011-04-05 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,57.3,60.0,-2.700000000000003
retail_sales,2011-04-13 08:30:00,Retail Sales (MoM),Retail Sales (MoM),0.4,0.5,-0.09999999999999998
ppi,2011-04-14 08:30:00,PPI (MoM),PPI (MoM),0.7,1.0,-0.30000000000000004
industrial_production,2011-04-15 09:15:00,Industrial Production (MoM),Industrial Production (MoM),0.8,0.6,0.20000000000000007
building_permits,2011-04-19 08:30:00,Building Permits,Building Permits,590000.0,540000.0,50000.0
housing_starts,2011-04-19 08:30:00,Housing Starts,Housing Starts,550000.0,520000.0,30000.0
existing_home_sales,2011-04-20 10:00:00,Existing Home Sales,Existing Home Sales,5100000.0,5000000.0,100000.0
new_home_sales,2011-04-25 10:00:00,New Home Sales,New Home Sales,300000.0,280000.0,20000.0
durable_goods,2011-04-27 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),2.5,1.9,0.6000000000000001
real_gdp_advance,2011-04-28 08:30:00,GDP (QoQ),GDP (QoQ),1.8,1.7,0.10000000000000009
ism_manufacturing,2011-05-02 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,60.4,59.7,0.6999999999999957
ism_services,2011-05-04 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,52.8,57.4,-4.600000000000001
nonfarm_payrolls,2011-05-06 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,244000.0,185000.0,59000.0
unemployment_rate,2011-05-06 08:30:00,Unemployment Rate,Unemployment Rate,9.0,8.8,0.1999999999999993
ppi,2011-05-12 08:30:00,PPI (MoM),PPI (MoM),0.8,0.6,0.20000000000000007
retail_sales,2011-05-12 08:30:00,Retail Sales (MoM),Retail Sales (MoM),0.5,0.6,-0.09999999999999998
building_permits,2011-05-17 08:30:00,Building Permits,Building Permits,550000.0,590000.0,-40000.0
housing_starts,2011-05-17 08:30:00,Housing Starts,Housing Starts,520000.0,570000.0,-50000.0
industrial_production,2011-05-17 09:15:00,Industrial Production (MoM),Industrial Production (MoM),0.0,0.5,-0.5
existing_home_sales,2011-05-19 10:00:00,Existing Home Sales,Existing Home Sales,5050000.0,5220000.0,-170000.0
new_home_sales,2011-05-24 10:00:00,New Home Sales,New Home Sales,323000.0,305000.0,18000.0
durable_goods,2011-05-25 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),-3.6,-2.0,-1.6
real_gdp_advance,2011-05-26 08:30:00,GDP (QoQ),GDP (QoQ),1.8,2.2,-0.40000000000000013
ism_manufacturing,2011-06-01 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,53.5,57.5,-4.0
nonfarm_payrolls,2011-06-03 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,54000.0,169000.0,-115000.0
unemployment_rate,2011-06-03 08:30:00,Unemployment Rate,Unemployment Rate,9.1,9.0,0.09999999999999964
ism_services,2011-06-03 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,54.6,54.0,0.6000000000000014
ppi,2011-06-14 08:30:00,PPI (MoM),PPI (MoM),0.2,0.1,0.1
retail_sales,2011-06-14 08:30:00,Retail Sales (MoM),Retail Sales (MoM),-0.2,-0.7,0.49999999999999994
